Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 31, 2026",,,Airball / Air Ball,no,no,1,1293
"Jan 31, 2026",,,All-Star,yes,no,99,9624
"Jan 31, 2026",,,Ankle,no,no,1,1433
"Jan 31, 2026",,,Buzzer,no,no,1,8197
"Jan 31, 2026",,,Elbow,yes,no,99,21197
"Jan 31, 2026",,,Injury / Injured,yes,no,99,5634
"Jan 31, 2026",,,Jordan,no,no,1,751
"Jan 31, 2026",,,MVP,no,no,1,484
"Jan 31, 2026",,,Playoff,no,no,1,1120
"Jan 31, 2026",,,Retire / Retired / Retirement,no,no,1,2194
"Jan 31, 2026",,,Spectrum,yes,yes,99,7128
"Jan 31, 2026",,,Tech / Technical,yes,no,99,2191
"Jan 31, 2026",,,Trade / Trades / Traded,no,no,1,1335
"Jan 31, 2026",,,Triple Double,yes,no,99,12762
"Jan 31, 2026",,,Airball / Air Ball,yes,no,99,11936
"Jan 31, 2026",,,All-Star,yes,no,99,6056
"Jan 31, 2026",,,Alley-oop,no,no,1,4831
"Jan 31, 2026",,,Ankle,yes,no,99,6108
"Jan 31, 2026",,,Buzzer,yes,no,99,14123
"Jan 31, 2026",,,Elbow,yes,no,99,5034
"Jan 31, 2026",,,Injury / Injured,yes,no,99,5501
"Jan 31, 2026",,,Jordan,no,no,1,4673
"Jan 31, 2026",,,MVP,no,no,1,2983
"Jan 31, 2026",,,Playoff,yes,no,99,4584
"Jan 31, 2026",,,Retire / Retired / Retirement,no,no,1,7571
"Jan 31, 2026",,,Tech / Technical,no,no,1,1991
"Jan 31, 2026",,,Toyota,yes,yes,99,6385
"Jan 31, 2026",,,Trade / Trades / Traded,yes,no,99,3363
"Jan 31, 2026",,,Triple Double,no,no,1,3380
"Jan 30, 2026",,,Airball / Air Ball,no,no,1,7226
"Jan 30, 2026",,,All-Star,yes,no,99,4775
"Jan 30, 2026",,,Alley-oop,yes,no,99,12152
"Jan 30, 2026",,,Ankle,no,no,1,8054
"Jan 30, 2026",,,Buzzer,yes,no,99,16637
"Jan 30, 2026",,,Elbow,yes,no,99,14005
"Jan 30, 2026",,,Injury / Injured,yes,no,99,13393
"Jan 30, 2026",,,Jordan,no,no,1,1858
"Jan 30, 2026",,,Kia,yes,yes,99,8432
"Jan 30, 2026",,,MVP,no,no,1,3835
"Jan 30, 2026",,,Playoff,yes,no,99,5562
"Jan 30, 2026",,,Retire / Retired / Retirement,no,no,1,6665
"Jan 30, 2026",,,Tech / Technical,yes,no,99,7222
"Jan 30, 2026",,,Trade / Trades / Traded,yes,no,99,7185
"Jan 30, 2026",,,Triple Double,no,no,1,5630
"Jan 30, 2026",,,Airball / Air Ball,no,no,1,5636
"Jan 30, 2026",,,All-Star,yes,no,99,10471
"Jan 30, 2026",,,Alley-oop,no,no,1,9173
"Jan 30, 2026",,,Ankle,no,no,1,2560
"Jan 30, 2026",,,Buzzer,no,no,1,35778
"Jan 30, 2026",,,Chase,no,yes,1,15475
"Jan 30, 2026",,,Elbow,no,no,1,8112
"Jan 30, 2026",,,Injury / Injured,yes,no,99,9619
"Jan 30, 2026",,,Jordan,no,no,1,4583
"Jan 30, 2026",,,MVP,no,no,1,4327
"Jan 30, 2026",,,Playoff,yes,no,99,12170
"Jan 30, 2026",,,Retire / Retired / Retirement,no,no,1,8930
"Jan 30, 2026",,,Tech / Technical,yes,no,99,17268
"Jan 30, 2026",,,Trade / Trades / Traded,yes,no,99,9761
"Jan 30, 2026",,,Triple Double,no,no,1,7096
"Jan 29, 2026",,,Airball / Air Ball,yes,no,99,13511
"Jan 29, 2026",,,All-Star,yes,no,99,7086
"Jan 29, 2026",,,Alley-oop,no,no,1,20634
"Jan 29, 2026",,,Ankle,no,no,1,2866
"Jan 29, 2026",,,Buzzer,yes,no,99,19936
"Jan 29, 2026",,,Elbow,yes,no,99,15491
"Jan 29, 2026",,,Injury / Injured,yes,no,99,10667
"Jan 29, 2026",,,Jordan,yes,no,99,6483
"Jan 29, 2026",,,MVP,yes,no,99,6218
"Jan 29, 2026",,,Playoff,yes,no,99,6527
"Jan 29, 2026",,,Retire / Retired / Retirement,no,no,1,9088
"Jan 29, 2026",,,Target,yes,yes,99,14808
"Jan 29, 2026",,,Tech / Technical,yes,no,99,3838
"Jan 29, 2026",,,Trade / Trades / Traded,yes,no,99,9484
"Jan 29, 2026",,,Triple Double,no,no,1,7526
"Jan 29, 2026",,,Airball / Air Ball,no,no,1,9255
"Jan 29, 2026",,,All-Star,yes,no,99,6587
"Jan 29, 2026",,,Alley-oop,no,no,1,10761
"Jan 29, 2026",,,Ankle,yes,no,99,5602
"Jan 29, 2026",,,Buzzer,no,no,1,15002
"Jan 29, 2026",,,Capital One,yes,yes,99,12576
"Jan 29, 2026",,,Elbow,no,no,1,5263
"Jan 29, 2026",,,Injury / Injured,yes,no,99,13812
"Jan 29, 2026",,,Jordan,no,no,1,3509
"Jan 29, 2026",,,MVP,no,no,1,5976
"Jan 29, 2026",,,Playoff,yes,no,99,7680
"Jan 29, 2026",,,Retire / Retired / Retirement,no,no,1,15479
"Jan 29, 2026",,,Tech / Technical,yes,no,99,9512
"Jan 29, 2026",,,Trade / Trades / Traded,yes,no,99,10541
"Jan 29, 2026",,,Triple Double,no,no,1,3962
"Jan 28, 2026",,,Airball / Air Ball,no,no,1,21479
"Jan 28, 2026",,,All-Star,yes,no,99,9059
"Jan 28, 2026",,,Alley-oop,yes,no,99,24493
"Jan 28, 2026",,,Ankle,yes,no,99,5297
"Jan 28, 2026",,,Buzzer,no,no,1,60446
"Jan 28, 2026",,,Elbow,yes,no,99,13050
"Jan 28, 2026",,,Injury / Injured,yes,no,99,9433
"Jan 28, 2026",,,Jordan,yes,no,99,28242
"Jan 28, 2026",,,MVP,no,no,1,37432
"Jan 28, 2026",,,Playoff,yes,no,99,4764
"Jan 28, 2026",,,Retire / Retired / Retirement,no,no,1,19098
"Jan 28, 2026",,,Tech / Technical,yes,no,99,5809
"Jan 28, 2026",,,Toyota,no,yes,1,52418
"Jan 28, 2026",,,Trade / Trades / Traded,yes,no,99,6623
"Jan 28, 2026",,,Triple Double,no,no,1,12693
"Jan 28, 2026",,,Airball / Air Ball,no,no,1,6756
"Jan 28, 2026",,,All-Star,yes,no,99,12439
"Jan 28, 2026",,,Alley-oop,no,no,1,22042
"Jan 28, 2026",,,Ankle,yes,no,99,13669
"Jan 28, 2026",,,Buzzer,no,no,1,39859
"Jan 28, 2026",,,Elbow,yes,no,99,7480
"Jan 28, 2026",,,Injury / Injured,yes,no,99,11974
"Jan 28, 2026",,,Jordan,yes,no,99,6265
"Jan 28, 2026",,,MVP,yes,no,99,3155
"Jan 28, 2026",,,Playoff,yes,no,99,3641
"Jan 28, 2026",,,Retire / Retired / Retirement,no,no,1,18942
"Jan 28, 2026",,,Rocket,yes,yes,99,18020
