Game,Strike,Result,Last Price,Volume
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Airball / Air Ball,no,1,1293
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",All-Star,yes,99,9624
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Ankle,no,1,1433
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Buzzer,no,1,8197
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Elbow,yes,99,21197
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Injury / Injured,yes,99,5634
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Jordan,no,1,751
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",MVP,no,1,484
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Playoff,no,1,1120
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Retire / Retired / Retirement,no,1,2194
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Spectrum,yes,99,7128
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Tech / Technical,yes,99,2191
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Trade / Trades / Traded,no,1,1335
"San Antonio at Charlotte professional basketball game originally scheduled for Jan 31, 2026",Triple Double,yes,99,12762
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Airball / Air Ball,yes,99,11936
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",All-Star,yes,99,6056
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Alley-oop,no,1,4831
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Ankle,yes,99,6108
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Buzzer,yes,99,14123
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Elbow,yes,99,5034
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Injury / Injured,yes,99,5501
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",Jordan,no,1,4673
"Dallas at Houston professional basketball game originally scheduled for Jan 31, 2026",MVP,no,1,2983
